age,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,0.0026011479446301096,-0.004217396921810673,-0.003980019016930351,-0.004429167174404593,-0.004820975617285539,-0.0036967281170588637,-0.0050785306334371755,-0.008904906445997604,-0.0069828996388400875,-0.08126041727040731,0.009757090726848444,-0.002371795096537144,-0.0030462960430966118,-0.0031960333903852506,-0.0012620009598855787,-0.006763010564970051,-0.01091945165934318,-0.005294089722288156,-0.0034111070764008965,-0.00813198593629351,0.006825912463886716,0.004413280164881939,0.006035148795090748,0.0010152193375111906,0.003162610432804054,0.0056457000021548475,0.004139468521490993,-0.0014506185276221945,-0.0011167978489193024,-0.0027077933111359356,0.003379566648739083,-0.00024529676226998746,-0.0013511930331549966,-0.00046605592671120533,-4.140983939193792e-06,0.0009703036028904834,0.00149428874053434,0.013405814754748762,0.01998920414291016,0.006613064135362854,0.009050835442532436,0.008308793663688058,0.009657672805611748,0.007280452646013972
2,0.0009774969085666876,0.004852335289441305,-0.0037499018874452773,-0.003992608122778086,-0.004333272700381988,-0.005137299100757239,-0.0035571204640851687,-0.0054886015028874505,-0.010524178956937715,-0.05286998232588487,0.008115083158095966,0.005920991407389025,-0.0012827248590320524,-0.0021486146464203167,-0.002231029191651997,-0.0006988066679557895,-0.003306987289122739,-0.006941330272788769,-0.004873653445632897,-0.0029357015288302883,0.007355928296232472,0.008481190785013398,0.005278614177911602,0.005298792513141592,0.002289528804239921,0.005925443594335015,0.004664052511660131,0.00230186795874399,-0.0015772953682958368,-0.0013370269221319793,0.004995287464655985,0.002385178508169144,-0.0019122858277332015,-0.002602415103783767,-0.0012147118211271806,-0.0003416325896785548,0.0008524442403680179,0.0034405129172828727,0.015536247810707785,0.004521947036045635,0.008863343096993872,0.00821269900952871,0.008222702817018427,0.007486221916909962
3,-0.0018020730614917912,0.0009638393516394002,0.004469444298545092,-0.0033250688970997296,-0.0034894401586805022,-0.003848452252898291,-0.004543682929575513,-0.0031407887996031925,-0.004877542170606477,-0.04830673115175821,0.004947169004301804,0.0051010249457186475,0.0064624185211026005,-0.0016468116775838317,-0.0019241729263371628,-0.0025341535210204546,-7.280335048682451e-05,-0.002801072540937656,-0.006727705863781177,-0.00478434020610646,0.0051426634679653345,0.008217569580174293,0.008477656234994153,0.005376622416152054,0.004231640859309336,0.004734566259835423,0.005478777155638987,0.003369827953931466,0.0015983923929280882,-0.0016325053069602012,0.004590484238148974,0.0028098601201855446,-0.001015822029460689,-0.0020473076309591946,-0.003034597945177283,-0.000913644560208375,0.00028168430645595575,0.0018754792242355245,0.01514276842607049,0.002405477364390368,0.007686102219514891,0.008107050021033587,0.0068650447037578635,0.008085721634424498
4,0.0003026418348089502,-0.001636406963100154,0.0009311843649861988,0.004050845546602699,-0.0029264011718510537,-0.0031593413474624243,-0.0034811016118306034,-0.004021494374084244,-0.002772965493195611,-0.04375234590279494,0.005012512535967683,0.0034444639046924937,0.005507183487882875,0.008460376216729638,-0.0018222351458757392,-0.002706379822230872,-0.0020260415385808628,-8.047271974800543e-05,-0.002946147997248229,-0.00605279532420598,0.007120414811388038,0.006060126552471804,0.008971045958471239,0.008563239316957492,0.003703785437907343,0.007164020856632438,0.0037779751332149203,0.0030508250282102957,0.0018191931072597672,0.0007165364221655677,0.004220827796210407,0.002745253922678601,-0.0006960006042795945,-0.0013446934617521763,-0.002106039067024693,-0.002392988955284337,-0.0008101972549554392,0.0017041242706223884,0.018611563379803943,0.001107188323255909,0.006153320229040253,0.007116333022912772,0.00661149449685345,0.007941613665716305
5,0.000433661461356784,0.0003011231465228126,-0.001423061758161078,0.0008542443582627934,0.003640654243632517,-0.002635666440151442,-0.0027656470123139133,-0.0030615491782836407,-0.0036516053959895238,-0.03777312814237353,0.003494367844922827,0.0035774304797822954,0.0037573241546020653,0.007537235859004717,0.01237331874967956,-0.0020992194575927656,-0.0017692598013494978,-0.0017534015991022584,-0.0003008388998110655,-0.0025305471830460984,0.007591717914477369,0.008182068733205228,0.006783831151322688,0.009140208249973724,0.006976085431126894,0.007592775137325892,0.005784545942886397,0.0022720556618246873,0.002077022779502192,0.0015471309120292523,0.004304979986704949,0.0019753458608003393,-0.00026545618645642535,-0.0011392124856248662,-0.0015931777125751613,-0.0018240610231324104,-0.0004612182468976174,0.0018143866409762364,0.01973875961460945,-0.0037275612674957073,0.005136061520850861,0.006853326299695556,0.006825028968713789,0.0073923732753125885
6,-0.0007962205375781194,0.0003868339289021187,0.0002853388612982062,-0.0013101143551317602,0.0008123438257118697,0.0034231303724579893,-0.0024755406525628983,-0.002617097474282566,-0.0029053267198619797,-0.032997171470607316,0.004403827374508899,0.002392700546085244,0.003637161118617544,0.004881943353751112,0.010495911324820148,0.012962994224705655,-0.0012897815333007792,-0.0016193167147420529,-0.0020261250500834566,0.00010925463421740138,0.006804207073232889,0.008782897394368636,0.00949580358380208,0.007095205946954269,0.007480549475045954,0.01054055992013223,0.0061099129701087055,0.0037368069208890196,0.0009551368176112399,0.0019659682883088046,0.0037621063558588934,0.002003313036145893,-0.0007749361508589021,-0.0008833187293663648,-0.0014251892745047873,-0.0013728021697333346,-0.00020199503129979084,0.0003411434813988066,0.003780472168352219,-0.005065697987910435,0.00550049719648035,0.004760885387678212,0.005383624900097682,0.006873136990873413
7,-0.00013445000171118183,-0.0007244136453658871,0.0004099951047407227,0.00027669974226987923,-0.001223973520968878,0.0007594708386931406,0.0031270301455402247,-0.002252380449012449,-0.002381441597418477,-0.028866268356112477,0.003460006818462074,0.0032408131426278097,0.0024402872001035502,0.004566548274674361,0.0074445658018863535,0.011262294810055896,0.012661931250046292,-0.0011656684080831486,-0.0018898039259152525,-0.0011892212788790495,0.0063629080789767214,0.007605141654327661,0.009204103424605294,0.009344423528615298,0.005654642088117865,0.011228191084188762,0.0093644474848626,0.0039780511344946375,0.003012241807845042,0.0015098279924931916,0.0032405903023781492,0.0016128209592855044,-0.0007290973072591739,-0.0015930898415138204,-0.00165126431568205,-0.0013009203876417977,0.000433427087518788,-0.00025679321914846614,0.006201568724854176,0.009101233257024017,0.004751242311320466,0.0048741266150998195,0.004893856367339634,0.006330804986033365
8,0.00010951281940753564,-6.112185497495226e-06,-0.0006796301258674993,0.00047561871552792307,0.00035932498235457676,-0.0012436735690549748,0.0008205546570034103,0.003323490131828016,-0.0023846003390272526,-0.02475926151020353,0.0033781255679206355,0.002745088117509289,0.0033843489823476712,0.003167309116457475,0.006842648576906061,0.00818003841607565,0.010612008354017911,0.011710021540295712,-0.0013585775728284484,-0.0012326416843882043,0.0072104989436666675,0.00669975280616423,0.007795175943939709,0.010163112379951897,0.007722691110986902,0.009681139406938395,0.009275948713258042,0.007076691799797757,0.003069378761339149,0.0025456843529422235,0.0033690965960324615,0.0014000148674145213,-0.0006268810822390717,-0.000713805992454051,-0.001504452864860505,-0.001359399734508877,0.0003414621808051281,0.00017292384471066867,0.0048841017388988675,0.004950659924731162,0.004230692397609926,0.005408079878171189,0.004993146054174084,0.006193007265811674
9,0.0003474828343479832,9.319219375589003e-05,1.2224445713070256e-05,-0.0005609142513673095,0.0004370323993078722,0.00029505378673740356,-0.001037178994619729,0.0007124599932387389,0.002867712702072589,-0.0220747414048038,0.0029739751210882187,0.0024540356634242142,0.003025928549158273,0.004447331133376883,0.004720820446036138,0.007513841286580543,0.0075475984164698855,0.010455493822819233,0.012214297849575085,-0.0007086291134676827,0.006726744089082105,0.007652530479616579,0.007837506526526072,0.009031837273243533,0.008061408857449602,0.011289114860180263,0.008473435715376948,0.00790591797676737,0.0059906390671284485,0.0032125371505692833,0.0035939733470652475,0.001967629769659184,-0.0003146071387541204,-0.0005148217715140153,-0.0011295339704702522,-0.0010115041030891265,0.0005828852107094495,0.0008217579841463921,0.00667965540191336,0.006014370586720646,0.004181579993917702,0.005233096330726961,0.0049413292780818765,0.005760392365011377
10,8.778690356209612e-05,-0.00016557594957228143,-0.00017355428696560712,-0.00015402613310058273,-0.00034995806983866934,5.6145770854045646e-05,4.132384499853229e-05,-0.0004727636455397562,0.0002320555544154489,-0.01789036507616294,0.003267919257667748,0.0023300126338462812,0.0026092224410843596,0.0038541011589255233,0.006725316745833714,0.005393826583671193,0.007152514283222121,0.007474694948444423,0.010638202945002936,0.011302683360593096,0.005793907510752497,0.006970789685366496,0.009752984458292665,0.008752616118103069,0.007336879801477035,0.011455480595818582,0.01044277589166717,0.006674541700105501,0.0068830307902791295,0.004876772967625771,0.003651280363231732,0.0014030704773093602,0.00015240644521601423,-0.0007231169345499614,-0.0008526183293603077,-0.000722169184864743,0.0006996289154169736,-0.0005008471776728722,0.005496746344826092,0.005196723884800414,0.003940148600957667,0.005274611781195824,0.004825749872155834,0.005523132129697271
